Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
10/07/2021;Transar sem camisinha;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;3476;3702;
10/09/2021;Vacinação;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;346;506;
10/11/2021;Prevenção ao suicídio ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;3070;3459;
10/13/2021;Redesignação Sexual ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;872;1474;
10/15/2021;Saída do Armário;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;921;1180;
10/21/2021;Kit 2;TikTok;Vídeo Pílula;Autoteste;Coletiva;;5650;1792;1406;
10/21/2021;Kit 2;Instagram;Vídeo Pílula;Autoteste;Coletiva;;3601;1288;3206;
10/25/2021;Cancer de Mama;TikTok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;5681;;237;
10/25/2021;Cancer de Mama;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3605;1907;1953;
10/26/2021;Visibilidade Intersexo;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3604;571;599;
10/26/2021;Visibilidade Intersexo;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;303;308;
11/04/2021;Chemsex;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3615;1264;1341;
11/04/2021;Chemsex;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;3070;4532;
11/05/2021;Sigilosos;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3617;2121;2155;
11/05/2021;Sigilosos;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;222;224;
11/08/2021;Indicação de PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3622;3225;3269;
11/08/2021;Indicação de PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;1427;1536;
