Data;Perfil;Início;Término;Total (em horas);Região;Bairro;Contatos receptivos;Nº de respostas aos contatos receptivos;Contatos ativos;Nº de pessoas que responderam ao contato ativo;Nº total de pessoas que responderam ao contato ativo e receptivo;Nº total de pessoas que interagiram;Nº total de HSH/ Trans & 15-19 identificadas;Nº de agendados;Observação;Visto Coordenação;Falhas identificadas
05/05/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;1;0;0;0;;;
05/06/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
05/07/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;3;1;0;0;;;
05/08/2021;Instagram;0;0;0;GSP;;3;3;0;0;2;0;0;0;;;
05/09/2021;Instagram;0;0;0;GSP;;2;2;0;0;0;0;0;0;;;
05/10/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;9;0;0;;;
05/11/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;0;0;0;0;0;1;0;0;;;
05/12/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;1;1;0;0;1;2;0;0;;;
05/13/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
05/14/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;2;2;0;0;2;0;1;0;;;
05/15/2021;Instagram;0;0;0;GSP;;3;3;0;0;3;0;0;0;;;
05/17/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;8;0;0;;;
05/18/2021;Instagram;05:00:00 PM;06:00:00 PM;01:00:00 AM;GSP;;1;1;0;0;1;1;0;0;;;
05/19/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;3;3;0;0;3;0;0;0;;;
05/20/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;0;0;0;0;0;0;;;
05/21/2021;Instagram;05:30:00 PM;06:00:00 PM;12:30:00 AM;GSP;;0;0;2;2;2;0;1;0;;;
05/23/2021;Instagram;0;0;0;GSP;;1;1;0;0;1;1;0;0;;;
05/24/2021;Instagram;02:00:00 PM;03:00:00 PM;01:00:00 AM;GSP;;4;4;0;0;4;7;1;0;;;
